Angle (deg),Concentration (uM),Quality Factor
20,1.8420699693267144,727.3396447193816
20,2.2229964825261934,725.9830896246779
20,2.6826957952797246,724.7978697471698
20,3.2374575428176433,723.843289746288
20,3.906939937054613,723.0469639687249
20,4.714866363457389,722.3935506105832
20,5.689866029018293,721.8319501084334
20,6.866488450042998,721.4013366510403
20,8.286427728546842,721.0226377637478
20,10.0,720.6751500076134
30,0.001,8776.630982516754
30,0.0012067926406393288,8478.234982815009
30,0.0014563484775012444,8141.22470525031
30,0.0017575106248547913,7763.723684741009
30,0.0021209508879201904,7352.023306678467
30,0.002559547922699536,6902.015921857543
30,0.0030888435964774815,6418.440478494571
30,0.003727593720314938,5917.237214435791
30,0.004498432668969444,5409.4226924639
30,0.005428675439323859,4897.817460898336
30,0.006551285568595509,4401.253364243735
30,0.0079060432109077,3931.8786318517214
30,0.009540954763499945,3496.8517483074866
30,0.01151395399326447,3103.959106730853
30,0.013894954943731374,2757.0233232044684
30,0.016768329368110076,2456.726510465414
30,0.020235896477251564,2199.395356474358
30,0.02442053094548651,1982.9551795308214
30,0.029470517025518096,1802.4386926741427
30,0.03556480306223128,1652.633078211714
30,0.04291934260128776,1529.1722784801393
30,0.0517947467923121,1427.676843806217
30,0.0625055192527397,1344.3336536923246
30,0.07543120063354615,1276.124828932245
30,0.09102981779915217,1220.180100180621
30,0.10985411419875583,1174.1975282392573
30,0.13257113655901082,1136.4713599074796
30,0.15998587196060574,1105.6170931119543
30,0.19306977288832497,1080.1433814700863
30,0.2329951810515372,1059.0962325724406
30,0.2811768697974228,1041.862890174193
30,0.3393221771895326,1027.5801622672523
30,0.4094915062380423,1015.7556190927884
30,0.49417133613238334,1006.0327476845135
30,0.5963623316594643,997.9955913045903
30,0.7196856730011514,991.3647582429827
30,0.868511373751352,985.9112941465092
30,1.0481131341546852,981.3604226184995
30,1.2648552168552958,977.6544497668228
30,1.5264179671752318,974.5713432606165
30,1.8420699693267144,971.9547050340135
30,2.2229964825261934,969.7991652781052
30,2.6826957952797246,968.077809464914
30,3.2374575428176433,966.5646334755376
30,3.906939937054613,965.371914304586
30,4.714866363457389,964.3882607934817
30,5.689866029018293,963.5585888472798
30,6.866488450042998,962.914571452039
30,8.286427728546842,962.2401535635605
30,10.0,961.8126918686007
40,0.001,17825.7939567815
40,0.0012067926406393288,17188.710410398646
40,0.0014563484775012444,16470.766685040315
40,0.0017575106248547913,15645.559092415187
40,0.0021209508879201904,14771.008057201265
40,0.002559547922699536,13811.12439126665
40,0.0030888435964774815,12783.143917222567
40,0.003727593720314938,11688.02869803651
40,0.004498432668969444,10591.806399151501
40,0.005428675439323859,9508.590580550816
40,0.006551285568595509,8440.20434446076
40,0.0079060432109077,7444.711823403129
40,0.009540954763499945,6526.4172616017195
40,0.01151395399326447,5704.703904952071
40,0.013894954943731374,4985.427290063318
40,0.016768329368110076,4371.444316812725
40,0.020235896477251564,3850.9006461522763
40,0.02442053094548651,3416.9784389761394
40,0.029470517025518096,3059.738912649342
40,0.03556480306223128,2767.4208513182407
40,0.04291934260128776,2528.372999679383
40,0.0517947467923121,2334.010289386206
40,0.0625055192527397,2175.5333514154886
40,0.07543120063354615,2047.226024248773
40,0.09102981779915217,1942.6720736102343
40,0.10985411419875583,1857.2503277892074
40,0.13257113655901082,1787.4711839619172
40,0.15998587196060574,1730.4954155556204
40,0.19306977288832497,1683.745481812378
40,0.2329951810515372,1645.3229566117286
40,0.2811768697974228,1614.0581119166236
40,0.3393221771895326,1588.1580863527374
40,0.4094915062380423,1566.842432698153
40,0.49417133613238334,1549.2112519529394
40,0.5963623316594643,1534.5392781483456
40,0.7196856730011514,1522.5019970002468
40,0.868511373751352,1512.7369357576943
40,1.0481131341546852,1504.6926597698518
40,1.2648552168552958,1497.7295724329838
40,1.5264179671752318,1492.340479434913
40,1.8420699693267144,1487.4637266814834
40,2.2229964825261934,1483.6964310641679
40,2.6826957952797246,1480.5497517014942
40,3.2374575428176433,1477.809256895225
40,3.906939937054613,1475.6737828063722
40,4.714866363457389,1474.009942679102
40,5.689866029018293,1472.4594645531747
40,6.866488450042998,1471.100503203127
40,8.286427728546842,1470.2293472358317
40,10.0,1469.2740438621613
50,0.001,41781.68296949616
50,0.0012067926406393288,40265.65329552255
50,0.0014563484775012444,38578.12352915076
50,0.0017575106248547913,36663.65894932108
50,0.0021209508879201904,34562.57787410743
50,0.002559547922699536,32347.29724729698
50,0.0030888435964774815,29861.575486488407
50,0.003727593720314938,27301.714811649694
50,0.004498432668969444,24574.800633099894
50,0.005428675439323859,21890.753557604025
50,0.006551285568595509,19247.965361506813
50,0.0079060432109077,16738.995360740628
50,0.009540954763499945,14480.053326029416
50,0.01151395399326447,12476.60937381638
50,0.013894954943731374,10725.35505058617
50,0.016768329368110076,9242.580103567136
50,0.020235896477251564,7987.526127290998
50,0.02442053094548651,6965.815462089038
50,0.029470517025518096,6131.988933228812
50,0.03556480306223128,5456.23696480547
50,0.04291934260128776,4912.477477042518
50,0.0517947467923121,4472.354671286147
50,0.0625055192527397,4118.555304138953
50,0.07543120063354615,3835.372310769059
50,0.09102981779915217,3604.072745164853
50,0.10985411419875583,3418.8932874483717
50,0.13257113655901082,3267.361615517703
50,0.15998587196060574,3144.0675896212565
50,0.19306977288832497,3044.4543066625342
50,0.2329951810515372,2962.454441550971
50,0.2811768697974228,2894.539173512705
50,0.3393221771895326,2839.6841595069027
50,0.4094915062380423,2794.8976760447613
50,0.49417133613238334,2757.9617861866377
50,0.5963623316594643,2727.221634950524
50,0.7196856730011514,2701.3079658188244
50,0.868511373751352,2681.0528806490884
50,1.0481131341546852,2664.151994524185
50,1.2648552168552958,2649.1451165905055
50,1.5264179671752318,2637.7700933448723
50,1.8420699693267144,2628.0805870014365
50,2.2229964825261934,2619.9838137682723
50,2.6826957952797246,2612.6399446881614
50,3.2374575428176433,2607.353377139667
50,3.906939937054613,2602.5882844543653
50,4.714866363457389,2598.8755872275974
50,5.689866029018293,2595.8885294923875
50,6.866488450042998,2593.8738860268863
50,8.286427728546842,2591.7341303779835
50,10.0,2589.444776647913
60,0.0012067926406393288,97213.73030103996
60,0.0014563484775012444,94177.20740043628
60,0.0017575106248547913,88872.96329546711
60,0.0021209508879201904,85476.94981657744
60,0.002559547922699536,79915.36818932598
60,0.0030888435964774815,74256.55812151238
60,0.003727593720314938,68037.59067450119
60,0.004498432668969444,61687.76278462425
60,0.005428675439323859,54758.274884978244
60,0.006551285568595509,48332.68873974561
60,0.0079060432109077,42108.72804885074
60,0.009540954763499945,36117.41575002736
60,0.01151395399326447,30851.4175934478
60,0.013894954943731374,26189.56153976295
60,0.016768329368110076,22214.42868903566
60,0.020235896477251564,18956.740913830305
60,0.02442053094548651,16266.827322356574
60,0.029470517025518096,14088.17990558204
60,0.03556480306223128,12345.392023766597
60,0.04291934260128776,10945.80608568482
60,0.0517947467923121,9841.923923514114
60,0.0625055192527397,8945.341728474315
60,0.07543120063354615,8238.973948964316
60,0.09102981779915217,7669.927066854888
60,0.10985411419875583,7216.823237248868
60,0.13257113655901082,6843.552037117874
60,0.15998587196060574,6546.21659132532
60,0.19306977288832497,6301.705767064041
60,0.2329951810515372,6107.682683767784
60,0.2811768697974228,5947.004766400282
60,0.3393221771895326,5812.607736050254
60,0.4094915062380423,5706.457141166249
60,0.49417133613238334,5619.559646374357
60,0.5963623316594643,5545.678925198574
60,0.7196856730011514,5482.041290957038
60,0.868511373751352,5433.950907646484
60,1.0481131341546852,5394.3227741284545
60,1.2648552168552958,5361.5661046323185
60,1.5264179671752318,5331.693199009653
60,1.8420699693267144,5308.541930818388
60,2.2229964825261934,5289.7994761196405
60,2.6826957952797246,5275.744996835567
60,3.2374575428176433,5263.417885723118
60,3.906939937054613,5249.462777333181
60,4.714866363457389,5241.429230194028
60,5.689866029018293,5232.654706258553
60,6.866488450042998,5226.433567584019
60,8.286427728546842,5223.863923549932
60,10.0,5220.535542699038
70,0.001,197298.86477066562
70,0.0012067926406393288,193864.9883452285
70,0.0014563484775012444,196759.84783007542
70,0.0017575106248547913,188516.88504185824
70,0.0021209508879201904,184036.15487383254
70,0.002559547922699536,175498.1867233393
70,0.0030888435964774815,167917.31706808947
70,0.003727593720314938,158383.47819559995
70,0.004498432668969444,149261.1283422973
70,0.005428675439323859,136319.23523039534
70,0.006551285568595509,119547.92131048485
70,0.0079060432109077,105694.6321701505
70,0.009540954763499945,92271.00905370097
70,0.01151395399326447,79034.5275273327
70,0.013894954943731374,67069.4920986462
70,0.016768329368110076,57021.24824951562
70,0.020235896477251564,47952.65761110984
70,0.02442053094548651,41104.01160206852
70,0.029470517025518096,35234.52080494096
70,0.03556480306223128,30495.72298670913
70,0.04291934260128776,26805.319729942603
70,0.0517947467923121,23881.595352383043
70,0.0625055192527397,21468.219078478618
70,0.07543120063354615,19631.2580002855
70,0.09102981779915217,18138.915977539687
70,0.10985411419875583,16954.87740207324
70,0.13257113655901082,15949.50070971358
70,0.15998587196060574,15204.224771516332
70,0.19306977288832497,14569.867064684246
70,0.2329951810515372,14055.559001817805
70,0.2811768697974228,13641.628642031888
70,0.3393221771895326,13288.816493058566
70,0.4094915062380423,13018.065157299478
70,0.49417133613238334,12799.376705651637
70,0.5963623316594643,12606.651475037113
70,0.7196856730011514,12456.258864463665
70,0.868511373751352,12326.18007973607
70,1.0481131341546852,12239.96665594232
70,1.2648552168552958,12150.12122430024
70,1.5264179671752318,12060.8054575197
70,1.8420699693267144,12006.070736916168
70,2.2229964825261934,11974.293579500472
70,2.6826957952797246,11934.020451223085
70,3.2374575428176433,11879.925255404278
70,3.906939937054613,11873.856397152229
70,4.714866363457389,11830.99992852937
70,5.689866029018293,11810.43966092504
70,6.866488450042998,11797.231203479176
70,8.286427728546842,11786.570789730302
70,10.0,11790.33979375562
80,0.001,304224.3554363497
80,0.0012067926406393288,312229.06779870624
80,0.0014563484775012444,324183.1856137945
80,0.0017575106248547913,332213.9981808077
80,0.0021209508879201904,342509.10002713214
80,0.002559547922699536,349014.60666898993
80,0.0030888435964774815,355201.5387987476
80,0.003727593720314938,351111.0282617739
80,0.004498432668969444,344122.55394207826
80,0.005428675439323859,331832.39540138195
80,0.006551285568595509,310160.75131688564
80,0.0079060432109077,284109.14345951687
80,0.009540954763499945,251204.15589478
80,0.01151395399326447,221104.6761413876
80,0.013894954943731374,190350.38663958927
80,0.016768329368110076,163048.34742699427
80,0.020235896477251564,138043.08966151386
80,0.02442053094548651,117555.30975614733
80,0.029470517025518096,100813.07935524336
80,0.03556480306223128,87145.8814280052
80,0.04291934260128776,76254.33743667052
80,0.0517947467923121,67439.44303305568
80,0.0625055192527397,60572.674439145114
80,0.07543120063354615,54964.507015381416
80,0.09102981779915217,50556.27839442825
80,0.10985411419875583,47101.32810899392
80,0.13257113655901082,44236.046983817134
80,0.15998587196060574,41976.707578358684
80,0.19306977288832497,40075.130800724735
80,0.2329951810515372,38634.727487363605
80,0.2811768697974228,37390.26384655971
80,0.3393221771895326,36409.751093712715
80,0.4094915062380423,35589.499921690556
80,0.49417133613238334,34930.80049936874
80,0.5963623316594643,34381.149857706965
80,0.7196856730011514,33932.60622726664
80,0.868511373751352,33567.85649742605
80,1.0481131341546852,33243.95151824101
80,1.2648552168552958,32987.88057812444
80,1.5264179671752318,32811.416296291616
80,1.8420699693267144,32628.087146050108
80,2.2229964825261934,32492.574768964125
80,2.6826957952797246,32355.926102986778
80,3.2374575428176433,32274.78748443429
80,3.906939937054613,32194.375512192306
80,4.714866363457389,32106.302206777327
80,5.689866029018293,32066.39078835535
80,6.866488450042998,32041.575784340883
80,8.286427728546842,31978.382379114355
80,10.0,31936.074117095126
