No of period,Figure of Merit (uM^-1),Concentration (uM)
4,647.0088316608574,0.0016069295511780177
4,603.149209248359,0.001939230756387491
4,555.6674442446808,0.002340249405309863
4,504.88809617615647,0.0028241957595885087
4,451.9190309727536,0.0034082186583962097
4,397.84758369219713,0.004113013194642191
4,344.0626906402196,0.004963554054146652
4,291.9884433539405,0.005989980503959684
4,243.03004245270697,0.007228664389751605
4,198.3291722228054,0.008723498987203822
4,158.73767900067998,0.010527454378382206
4,124.69257656789664,0.012704454468497921
4,96.22824481360145,0.015331642155920724
4,73.05740138128542,0.018502112922680822
4,54.65347994292941,0.02232821371136904
4,40.34891179149993,0.026945523985502304
4,29.45051787988982,0.032517660043874685
4,21.280940800330328,0.039242072831759525
4,15.24903389331649,0.04735704469679993
4,10.848322751367645,0.057150133022525904
4,7.6719955801258966,0.06896835994314293
4,5.397355777402074,0.08323050921634917
4,3.782614014299176,0.100441965998954
4,2.640525868076707,0.12121262537888333
4,1.8383186551034072,0.14627850425980826
4,1.2766514454162041,0.17652782242446535
4,0.8850652683506496,0.21303247696993108
4,0.6123899250748165,0.25708602542448
4,0.4234889582874104,0.3102495234934777
4,0.29212861033618653,0.37440684171378746
4,0.201571486247268,0.4518314211852128
4,0.13881077427787902,0.5452668338959238
4,0.0956523771168133,0.6580240023303079
4,0.0658493363310331,0.7940985233762516
4,0.04531140609699756,0.9583122539530187
4,0.031216624846128093,1.1564841755049904
4,0.02141233565784751,1.3956365920152638
4,0.014744065235141046,1.6842439682509731
4,0.010126553801749066,2.032533225926454
4,0.006954242640998515,2.452846138902959
4,0.00476735773943017,2.960076669048684
4,0.00328725971800675,3.572198739936128
4,0.0022580896740738727,4.310903150256001
4,0.0015542461020185186,5.202366196237842
4,0.0010597046822838076,6.278177239530645
4,0.0007363291778146437,7.5764580892949205
4,0.0005005524442320079,9.14321386427342
6,4032.0181634174105,0.0011033963203196644
6,3790.3212407282986,0.0013315705590702866
6,3523.6062373723535,0.0016069295511780177
6,3233.8224462348257,0.001939230756387491
6,2925.496282273263,0.002340249405309863
6,2604.027736158739,0.0028241957595885087
6,2276.94224868529,0.0034082186583962097
6,1952.8734600605853,0.004113013194642191
6,1641.113764833344,0.004963554054146652
6,1350.0583397389162,0.005989980503959684
6,1087.0369109629046,0.007228664389751605
6,856.9270529081969,0.008723498987203822
6,661.9015283277132,0.010527454378382206
6,501.6786831879178,0.012704454468497921
6,373.7564723275659,0.015331642155920724
6,274.243265266869,0.018502112922680822
6,198.6286204370269,0.02232821371136904
6,142.2858578786531,0.026945523985502304
6,101.00881776000254,0.032517660043874685
6,71.1832724954732,0.039242072831759525
6,49.87564425987304,0.04735704469679993
6,34.786173374069996,0.057150133022525904
6,24.177365640676754,0.06896835994314293
6,16.75580431963993,0.08323050921634917
6,11.589177824741656,0.100441965998954
6,8.003180130526822,0.12121262537888333
6,5.519417767916927,0.14627850425980826
6,3.802558639853211,0.17652782242446535
6,2.618652274158124,0.21303247696993108
6,1.8014300237594356,0.25708602542448
6,1.2394528934896005,0.3102495234934777
6,0.8518989852263552,0.37440684171378746
6,0.5857140982584133,0.4518314211852128
6,0.402676182552019,0.5452668338959238
6,0.27647508109988983,0.6580240023303079
6,0.19009982519515056,0.7940985233762516
6,0.13057222908057312,0.9583122539530187
6,0.08962821864129765,1.1564841755049904
6,0.061624631479865896,1.3956365920152638
6,0.04228247885489352,1.6842439682509731
6,0.02903675539846382,2.032533225926454
6,0.019951273416663477,2.452846138902959
6,0.013719620434990254,2.960076669048684
6,0.009397101989088323,3.572198739936128
6,0.00647614753890179,4.310903150256001
6,0.004436661576074578,5.202366196237842
6,0.003053248861034099,6.278177239530645
6,0.0020899612794412934,7.5764580892949205
6,0.0014302319901880447,9.14321386427342
8,21720.82641832535,0.0011033963203196644
8,20158.045495169346,0.0013315705590702866
8,18458.199150497185,0.0016069295511780177
8,16647.150349334686,0.001939230756387491
8,14758.647212396336,0.002340249405309863
8,12835.43375105524,0.0028241957595885087
8,10931.495234892793,0.0034082186583962097
8,9103.600266342602,0.004113013194642191
8,7404.257842537682,0.004963554054146652
8,5879.644645672213,0.005989980503959684
8,4558.560074413606,0.007228664389751605
8,3453.209440587376,0.008723498987203822
8,2560.3982776167613,0.010527454378382206
8,1862.079036024856,0.012704454468497921
8,1331.8133797551993,0.015331642155920724
8,939.2664850004137,0.018502112922680822
8,655.0844510955937,0.02232821371136904
8,453.0423037164043,0.026945523985502304
8,311.3705727873607,0.032517660043874685
8,213.10024972734743,0.039242072831759525
8,145.44427052625343,0.04735704469679993
8,99.11549717382196,0.057150133022525904
8,67.50729883298004,0.06896835994314293
8,45.975442719334715,0.08323050921634917
8,31.318213313937967,0.100441965998954
8,21.35189917321002,0.12121262537888333
8,14.560850684412854,0.14627850425980826
8,9.942520225233759,0.17652782242446535
8,6.790632144192637,0.21303247696993108
8,4.641723386900341,0.25708602542448
8,3.1754678354829453,0.3102495234934777
8,2.1729723240035392,0.37440684171378746
8,1.4878139827648205,0.4518314211852128
8,1.0196468614503642,0.5452668338959238
8,0.698162149254125,0.6580240023303079
8,0.4791001371705645,0.7940985233762516
8,0.3283344528980921,0.9583122539530187
8,0.2251030067361091,1.1564841755049904
8,0.15449277916004114,1.3956365920152638
8,0.10591738985692609,1.6842439682509731
8,0.07275727801578817,2.032533225926454
8,0.049895700837478636,2.452846138902959
8,0.0341896101722733,2.960076669048684
8,0.0235071352863022,3.572198739936128
8,0.016167685868338413,4.310903150256001
8,0.011093849449568758,5.202366196237842
8,0.007596020983494234,6.278177239530645
8,0.005228460565631843,7.5764580892949205
8,0.0035911993452167864,9.14321386427342

