n_mip_polymer,Concentration (uM),Quality Factor
1.48,0.4094915062380423,566.7166032610583
1.48,0.49417133613238334,561.4521922365926
1.48,0.5963623316594643,556.5115954080651
1.48,0.7196856730011514,552.8872803254342
1.48,0.868511373751352,550.0421520641702
1.48,1.0481131341546852,547.7485121304784
1.48,1.2648552168552958,545.5458316043804
1.48,1.5264179671752318,543.8950032588571
1.48,1.8420699693267144,542.5277935703155
1.48,2.2229964825261934,541.0395835315067
1.48,2.6826957952797246,540.5594957604768
1.48,3.2374575428176433,539.3734237102026
1.48,3.906939937054613,538.9765424412925
1.48,4.714866363457389,538.0621330145498
1.48,5.689866029018293,537.990468429806
1.48,6.866488450042998,537.3600874850612
1.48,8.286427728546842,536.9030801516175
1.48,10.0,536.7723124223978
1.49,0.001,3517.4085854007412
1.49,0.0012067926406393288,3408.2597912793517
1.49,0.0014563484775012444,3297.6688225720486
1.49,0.0017575106248547913,3159.78278469334
1.49,0.0021209508879201904,3020.022392560333
1.49,0.002559547922699536,2852.4037792268623
1.49,0.0030888435964774815,2686.985462959666
1.49,0.003727593720314938,2504.04944013016
1.49,0.004498432668969444,2315.278152970258
1.49,0.005428675439323859,2132.409226388887
1.49,0.006551285568595509,1951.053024488008
1.49,0.0079060432109077,1779.8575784883062
1.49,0.009540954763499945,1619.8992122145187
1.49,0.01151395399326447,1466.8217631390871
1.49,0.013894954943731374,1334.8689150217838
1.49,0.016768329368110076,1214.7679690974894
1.49,0.020235896477251564,1113.1532983486698
1.49,0.02442053094548651,1023.4237598258071
1.49,0.029470517025518096,949.8670325557481
1.49,0.03556480306223128,885.1315845513998
1.49,0.04291934260128776,832.6374076478935
1.49,0.0517947467923121,788.9807266779922
1.49,0.0625055192527397,752.3221322989953
1.49,0.07543120063354615,721.6923292363606
1.49,0.09102981779915217,696.8226700367086
1.49,0.10985411419875583,675.6925570391118
1.49,0.13257113655901082,658.7533596350603
1.49,0.15998587196060574,644.995681660392
1.49,0.19306977288832497,632.9168256122439
1.49,0.2329951810515372,623.462761229199
1.49,0.2811768697974228,615.3949340678694
1.49,0.3393221771895326,608.397373527137
1.49,0.4094915062380423,603.0083586060712
1.49,0.49417133613238334,598.5815095529131
1.49,0.5963623316594643,594.7681735448002
1.49,0.7196856730011514,591.5353202758354
1.49,0.868511373751352,589.2008089589079
1.49,1.0481131341546852,586.5211262110524
1.49,1.2648552168552958,585.280090942418
1.49,1.5264179671752318,583.8410056606562
1.49,1.8420699693267144,582.354801110646
1.49,2.2229964825261934,581.4777529892393
1.49,2.6826957952797246,580.4768510211297
1.49,3.2374575428176433,579.8041503539431
1.49,3.906939937054613,579.2015151816288
1.49,4.714866363457389,578.9775279393511
1.49,5.689866029018293,578.1296509105816
1.49,6.866488450042998,578.1323651056932
1.49,8.286427728546842,577.902447058242
1.49,10.0,577.5871964427648
1.5,0.001,2181.836353381753
1.5,0.0012067926406393288,2133.4083071341784
1.5,0.0014563484775012444,2078.297075757681
1.5,0.0017575106248547913,2017.5626817274851
1.5,0.0021209508879201904,1944.448001224336
1.5,0.002559547922699536,1870.0946967787027
1.5,0.0030888435964774815,1787.7095246398146
1.5,0.003727593720314938,1703.7487747232274
1.5,0.004498432668969444,1614.383004383966
1.5,0.005428675439323859,1522.4180867001367
1.5,0.006551285568595509,1430.622480946976
1.5,0.0079060432109077,1343.425462249943
1.5,0.009540954763499945,1256.445178976524
1.5,0.01151395399326447,1175.6470289642814
1.5,0.013894954943731374,1101.144507634767
1.5,0.016768329368110076,1032.919402803464
1.5,0.020235896477251564,972.8917427857415
1.5,0.02442053094548651,918.4873186468714
1.5,0.029470517025518096,872.3269555822202
1.5,0.03556480306223128,831.7066862092743
1.5,0.04291934260128776,797.4293957070889
1.5,0.0517947467923121,767.2619330269405
1.5,0.0625055192527397,742.4992854210017
1.5,0.07543120063354615,721.3149510539012
1.5,0.09102981779915217,703.7744651296488
1.5,0.10985411419875583,689.181971335937
1.5,0.13257113655901082,676.8273379272998
1.5,0.15998587196060574,666.6323481648759
1.5,0.19306977288832497,658.1330849307376
1.5,0.2329951810515372,650.4666448276574
1.5,0.2811768697974228,644.749617597894
1.5,0.3393221771895326,640.0517527465595
1.5,0.4094915062380423,635.8700606690973
1.5,0.49417133613238334,632.1239116911383
1.5,0.5963623316594643,629.1646392834976
1.5,0.7196856730011514,627.053833979256
1.5,0.868511373751352,624.8809648676103
1.5,1.0481131341546852,623.0160047835025
1.5,1.2648552168552958,622.3756010575893
1.5,1.5264179671752318,620.8103591613011
1.5,1.8420699693267144,619.693836570629
1.5,2.2229964825261934,619.5552304394266
1.5,2.6826957952797246,618.6717080695962
1.5,3.2374575428176433,618.1373966758899
1.5,3.906939937054613,617.5372877115506
1.5,4.714866363457389,617.128788427402
1.5,5.689866029018293,617.1210776921213
1.5,6.866488450042998,616.9741079623784
1.5,8.286427728546842,616.8334842975186
1.5,10.0,616.105099434574
1.51,0.001,1267.7934847533688
1.51,0.0012067926406393288,1253.7164581075888
1.51,0.0014563484775012444,1234.9559801314383
1.51,0.0017575106248547913,1217.465098786426
1.51,0.0021209508879201904,1194.2743557778106
1.51,0.002559547922699536,1170.6745289612925
1.51,0.0030888435964774815,1143.4831120319307
1.51,0.003727593720314938,1114.0104578611654
1.51,0.004498432668969444,1081.940494610181
1.51,0.005428675439323859,1049.6004444734094
1.51,0.006551285568595509,1017.2131237478354
1.51,0.0079060432109077,983.7902651702982
1.51,0.009540954763499945,949.9455390117957
1.51,0.01151395399326447,918.3168185057841
1.51,0.013894954943731374,887.8719532677056
1.51,0.016768329368110076,858.758413718751
1.51,0.020235896477251564,831.3915971310776
1.51,0.02442053094548651,806.8612173870899
1.51,0.029470517025518096,784.6330422135618
1.51,0.03556480306223128,765.1889092772949
1.51,0.04291934260128776,748.5556940627532
1.51,0.0517947467923121,733.1181902057057
1.51,0.0625055192527397,720.5117223074238
1.51,0.07543120063354615,709.0617488373209
1.51,0.09102981779915217,699.5701270308051
1.51,0.10985411419875583,692.0425824815799
1.51,0.13257113655901082,684.7527910832931
1.51,0.15998587196060574,679.4953653271806
1.51,0.19306977288832497,674.3505248161757
1.51,0.2329951810515372,670.694565189108
1.51,0.2811768697974228,667.0947001669109
1.51,0.3393221771895326,664.4480092640208
1.51,0.4094915062380423,661.7539154537957
1.51,0.49417133613238334,660.3033588059196
1.51,0.5963623316594643,657.9100705699159
1.51,0.7196856730011514,657.150559321892
1.51,0.868511373751352,655.5542087246857
1.51,1.0481131341546852,654.6042468265119
1.51,1.2648552168552958,654.0512656144348
1.51,1.5264179671752318,653.5568346769172
1.51,1.8420699693267144,652.710880559254
1.51,2.2229964825261934,652.6459893106272
1.51,2.6826957952797246,652.0291229008674
1.51,3.2374575428176433,651.8933229412934
1.51,3.906939937054613,651.6266492187468
1.51,4.714866363457389,651.3862066892679
1.51,5.689866029018293,651.3037387106875
1.51,6.866488450042998,650.6888179372019
1.51,8.286427728546842,651.2315838899472
1.51,10.0,650.608474337027
1.52,0.001,725.4342297335554
1.52,0.0012067926406393288,724.5461764463198
1.52,0.0014563484775012444,723.4340747180864
1.52,0.0017575106248547913,722.3831596270342
1.52,0.0021209508879201904,720.668345164854
1.52,0.002559547922699536,719.4783313694481
1.52,0.0030888435964774815,717.9595737461401
1.52,0.003727593720314938,716.1287655076942
1.52,0.004498432668969444,713.8779972810346
1.52,0.005428675439323859,711.8982458753786
1.52,0.006551285568595509,709.7554005003673
1.52,0.0079060432109077,707.8153586573469
1.52,0.009540954763499945,705.3627347651326
1.52,0.01151395399326447,702.5497252091105
1.52,0.013894954943731374,700.4045962229991
1.52,0.016768329368110076,698.1157912946882
1.52,0.020235896477251564,695.873213041446
1.52,0.02442053094548651,693.979880105641
1.52,0.029470517025518096,691.9704827965927
1.52,0.03556480306223128,689.5445164752914
1.52,0.04291934260128776,688.3400674423281
1.52,0.0517947467923121,686.5389698101338
1.52,0.0625055192527397,685.1174792986168
1.52,0.07543120063354615,684.2348414316778
1.52,0.09102981779915217,683.2221887875332
1.52,0.10985411419875583,682.3288369352662
1.52,0.13257113655901082,681.8170246087235
1.52,0.15998587196060574,681.0665238099834
1.52,0.19306977288832497,680.3270259586133
1.52,0.2329951810515372,679.8298427759171
1.52,0.2811768697974228,679.7829812954258
1.52,0.3393221771895326,679.5017405392546
1.52,0.4094915062380423,679.150907097201
1.52,0.49417133613238334,678.8763295937563
1.52,0.5963623316594643,678.8006354339498
1.52,0.7196856730011514,679.0297785560009
1.52,0.868511373751352,678.7868964200085
1.52,1.0481131341546852,678.148682404872
1.52,1.2648552168552958,678.0477120004814
1.52,1.5264179671752318,678.538932307043
1.52,1.8420699693267144,677.9311477109984
1.52,2.2229964825261934,678.0022171808674
1.52,2.6826957952797246,677.9115546886314
1.52,3.2374575428176433,678.5586493668588
1.52,3.906939937054613,678.2270897175858
1.52,4.714866363457389,677.8029031422359
1.52,5.689866029018293,678.1725939168463
1.52,6.866488450042998,678.478207811627
1.52,8.286427728546842,677.8640679957159
1.52,10.0,678.0742488413657
1.53,0.001,432.4822277996442
1.53,0.0012067926406393288,435.66981544447447
1.53,0.0014563484775012444,439.69757027275034
1.53,0.0017575106248547913,443.8745271370143
1.53,0.0021209508879201904,448.9874712630123
1.53,0.002559547922699536,455.210101970952
1.53,0.0030888435964774815,462.1028409420968
1.53,0.003727593720314938,469.81728973959883
1.53,0.004498432668969444,476.48011839210756
1.53,0.005428675439323859,485.7854922941822
1.53,0.006551285568595509,496.49429810379155
1.53,0.0079060432109077,507.8974094587852
1.53,0.009540954763499945,520.2080190772626
1.53,0.01151395399326447,533.105577684083
1.53,0.013894954943731374,545.9822387885163
1.53,0.016768329368110076,559.4089977570445
1.53,0.020235896477251564,572.7201366297675
1.53,0.02442053094548651,586.0196497832763
1.53,0.029470517025518096,598.154054410803
1.53,0.03556480306223128,609.816125913384
1.53,0.04291934260128776,620.9932391743024
1.53,0.0517947467923121,630.8477570524328
1.53,0.0625055192527397,639.2463624702901
1.53,0.07543120063354615,647.8273024190802
1.53,0.09102981779915217,654.6958780930244
1.53,0.10985411419875583,660.7862293210385
1.53,0.13257113655901082,666.1034030652636
1.53,0.15998587196060574,670.5915387312184
1.53,0.19306977288832497,674.225030419773
1.53,0.2329951810515372,677.9333515022888
1.53,0.2811768697974228,681.0585231162938
1.53,0.3393221771895326,683.0643092028732
1.53,0.4094915062380423,685.332078808266
1.53,0.49417133613238334,686.7580907110384
1.53,0.5963623316594643,688.148816219587
1.53,0.7196856730011514,689.5633517800194
1.53,0.868511373751352,690.2802571148499
1.53,1.0481131341546852,691.485413142841
1.53,1.2648552168552958,691.7548290043526
1.53,1.5264179671752318,692.4538023117422
1.53,1.8420699693267144,693.2119145169977
1.53,2.2229964825261934,693.7164318350206
1.53,2.6826957952797246,693.7067163286766
1.53,3.2374575428176433,693.8703255603418
1.53,3.906939937054613,694.0249709556836
1.53,4.714866363457389,694.9298353880797
1.53,5.689866029018293,694.6353977230225
1.53,6.866488450042998,694.8573960626954
1.53,8.286427728546842,694.5971478448575
1.53,10.0,694.6928380074107
