Angle (deg),Concentration (uM),Figure of Merit (uM^-1)
20,9.14321386427342,0.004902110442064064
30,0.0011033963203196644,70236.6324118869
30,0.0013315705590702866,64957.11766621021
30,0.0016069295511780177,59028.29023972547
30,0.001939230756387491,52859.75213709465
30,0.002340249405309863,46582.03497228478
30,0.0028241957595885087,40142.49715049213
30,0.0034082186583962097,33849.28762536243
30,0.004113013194642191,27810.451351385447
30,0.004963554054146652,22221.437967969552
30,0.005989980503959684,17343.272460219527
30,0.007228664389751605,13189.96392394511
30,0.008723498987203822,9780.396280926923
30,0.010527454378382206,7083.67460442822
30,0.012704454468497921,5036.949530902913
30,0.015331642155920724,3519.243657934267
30,0.018502112922680822,2420.3053730657016
30,0.02232821371136904,1646.9980055598512
30,0.026945523985502304,1114.2488457136214
30,0.032517660043874685,750.2393585536267
30,0.039242072831759525,503.80624948186204
30,0.04735704469679993,338.06897059049925
30,0.057150133022525904,226.83924041541457
30,0.06896835994314293,152.54379853946935
30,0.08323050921634917,102.68274515599065
30,0.100441965998954,69.14663461207562
30,0.12121262537888333,46.70759058648775
30,0.14627850425980826,31.693350990378136
30,0.17652782242446535,21.48574148660896
30,0.21303247696993108,14.567037865170272
30,0.25708602542448,9.949137528827753
30,0.3102495234934777,6.75505209750591
30,0.37440684171378746,4.620904070686593
30,0.4518314211852128,3.138763232174928
30,0.5452668338959238,2.158196341011645
30,0.6580240023303079,1.472065989568033
30,0.7940985233762516,1.0148013811855991
30,0.9583122539530187,0.6876648131117701
30,1.1564841755049904,0.4737561806502868
30,1.3956365920152638,0.3235668032472632
30,1.6842439682509731,0.22334537804598273
30,2.032533225926454,0.15165191781686616
30,2.452846138902959,0.10361717591978545
30,2.960076669048684,0.07220775286626965
30,3.572198739936128,0.0504254252640308
30,4.310903150256001,0.032445347503466004
30,5.202366196237842,0.024298568194708315
30,6.278177239530645,0.01589135703873657
30,7.5764580892949205,0.010527868918784006
30,9.14321386427342,0.0072624383922079445
40,0.0011033963203196644,172653.46372217443
40,0.0013315705590702866,158734.22385368246
40,0.0016069295511780177,144009.52708650654
40,0.001939230756387491,128721.84699196232
40,0.002340249405309863,112532.89350221377
40,0.0028241957595885087,96313.9560237674
40,0.0034082186583962097,80663.81588704074
40,0.004113013194642191,65655.9584365428
40,0.004963554054146652,51859.85063359523
40,0.005989980503959684,40076.93848536088
40,0.007228664389751605,30097.586931571208
40,0.008723498987203822,22006.118618597517
40,0.010527454378382206,15752.114616276936
40,0.012704454468497921,11028.854252331957
40,0.015331642155920724,7556.874731816239
40,0.018502112922680822,5109.975596991895
40,0.02232821371136904,3423.387634693965
40,0.026945523985502304,2278.1852805760373
40,0.032517660043874685,1509.4421791581933
40,0.039242072831759525,999.2385273578329
40,0.04735704469679993,662.2595416299156
40,0.057150133022525904,439.3430557985736
40,0.06896835994314293,292.0285855917499
40,0.08323050921634917,194.79585628573875
40,0.100441965998954,130.38165269179288
40,0.12121262537888333,87.33538945652086
40,0.14627850425980826,58.82070905903221
40,0.17652782242446535,39.72646393908325
40,0.21303247696993108,26.898055020787343
40,0.25708602542448,18.17770643972797
40,0.3102495234934777,12.38411158202895
40,0.37440684171378746,8.434643875877237
40,0.4518314211852128,5.730986038182463
40,0.5452668338959238,3.920723432991395
40,0.6580240023303079,2.6784074688546124
40,0.7940985233762516,1.8245501901925358
40,0.9583122539530187,1.2465120348249703
40,1.1564841755049904,0.8628269959167121
40,1.3956365920152638,0.5831980174386799
40,1.6842439682509731,0.40009906479375623
40,2.032533225926454,0.2789585304251853
40,2.452846138902959,0.18786320456283553
40,2.960076669048684,0.13063877069046154
40,3.572198739936128,0.08762417096498475
40,4.310903150256001,0.06044535854928586
40,5.202366196237842,0.042014170696785015
40,6.278177239530645,0.02814933123619115
40,7.5764580892949205,0.02056753361700445
40,9.14321386427342,0.013620516492250252
50,0.0011033963203196644,502083.49376951094
50,0.0013315705590702866,462934.0623983863
50,0.0016069295511780177,420934.9606263944
50,0.001939230756387491,375675.94658476074
50,0.002340249405309863,328539.07538822904
50,0.0028241957595885087,281639.04749282036
50,0.0034082186583962097,234899.6461344047
50,0.004113013194642191,190106.8819141545
50,0.004963554054146652,149696.0582436332
50,0.005989980503959684,114559.96598991245
50,0.007228664389751605,84879.7269606609
50,0.008723498987203822,61172.52950193592
50,0.010527454378382206,42976.32476125456
50,0.012704454468497921,29469.544892344857
50,0.015331642155920724,19842.19791943377
50,0.018502112922680822,13167.031617758843
50,0.02232821371136904,8649.61181477273
50,0.026945523985502304,5648.840220353786
50,0.032517660043874685,3677.7908976555545
50,0.039242072831759525,2393.9244364102397
50,0.04735704469679993,1560.7791903718273
50,0.057150133022525904,1020.6728767913503
50,0.06896835994314293,670.3841062137226
50,0.08323050921634917,442.3329733905751
50,0.100441965998954,293.08757965554867
50,0.12121262537888333,195.09363669146748
50,0.14627850425980826,130.37993199016822
50,0.17652782242446535,87.44750262069228
50,0.21303247696993108,58.881461397870005
50,0.25708602542448,39.75155466294976
50,0.3102495234934777,26.906129095689572
50,0.37440684171378746,18.259959582683248
50,0.4518314211852128,12.404640329848045
50,0.5452668338959238,8.451606706787421
50,0.6580240023303079,5.7588831922095665
50,0.7940985233762516,3.9320983254919613
50,0.9583122539530187,2.685583405463387
50,1.1564841755049904,1.8366933250874207
50,1.3956365920152638,1.256437462745124
50,1.6842439682509731,0.8609989704251956
50,2.032533225926454,0.5896329848430161
50,2.452846138902959,0.40379901146457947
50,2.960076669048684,0.2772958554458845
50,3.572198739936128,0.18960026615744124
50,4.310903150256001,0.13036362561912457
50,5.202366196237842,0.08945657738227102
50,6.278177239530645,0.06133231851381882
50,7.5764580892949205,0.04206368229123492
50,9.14321386427342,0.028857598197860115
60,0.0011033963203196644,1488523.3105404829
60,0.0013315705590702866,1385176.5011708806
60,0.0016069295511780177,1261208.5281625686
60,0.001939230756387491,1134315.4846816482
60,0.002340249405309863,1003858.6977555783
60,0.0028241957595885087,862649.0650540353
60,0.0034082186583962097,723461.1835713572
60,0.004113013194642191,589998.3899302213
60,0.004963554054146652,465288.5212951521
60,0.005989980503959684,355509.1294514522
60,0.007228664389751605,263794.867225768
60,0.008723498987203822,189060.04512679373
60,0.010527454378382206,131518.03675787817
60,0.012704454468497921,89206.01368673902
60,0.015331642155920724,59160.3489865763
60,0.018502112922680822,38647.551374636554
60,0.02232821371136904,24979.43644800399
60,0.026945523985502304,16027.146449271057
60,0.032517660043874685,10258.850818749032
60,0.039242072831759525,6568.552140191367
60,0.04735704469679993,4220.014301639522
60,0.057150133022525904,2722.2104950666553
60,0.06896835994314293,1765.3041203614646
60,0.08323050921634917,1151.9942030566374
60,0.100441965998954,756.2299988520328
60,0.12121262537888333,499.149195906688
60,0.14627850425980826,331.12790816917254
60,0.17652782242446535,220.75500742211443
60,0.21303247696993108,147.8532163000963
60,0.25708602542448,99.39418558778196
60,0.3102495234934777,67.00640178332188
60,0.37440684171378746,45.31637538795389
60,0.4518314211852128,30.73514254125563
60,0.5452668338959238,20.873690922634978
60,0.6580240023303079,14.201168377010848
60,0.7940985233762516,9.676362296972156
60,0.9583122539530187,6.605243466029387
60,1.1564841755049904,4.514214863379431
60,1.3956365920152638,3.082960138174007
60,1.6842439682509731,2.1116193909688676
60,2.032533225926454,1.4446597922105038
60,2.452846138902959,0.9884581922961941
60,2.960076669048684,0.6787370651166794
60,3.572198739936128,0.46471118557126967
60,4.310903150256001,0.31844237593077773
60,5.202366196237842,0.21865549135167375
60,6.278177239530645,0.14967779934851624
60,7.5764580892949205,0.1028667926474283
60,9.14321386427342,0.07074218525524843
70,0.0011033963203196644,3518915.953512089
70,0.0013315705590702866,3379211.294170704
70,0.0016069295511780177,3177859.019804465
70,0.001939230756387491,2905256.5477438066
70,0.002340249405309863,2619903.2051170296
70,0.0028241957595885087,2310418.6438840297
70,0.0034082186583962097,1997066.8212207842
70,0.004113013194642191,1686198.5771287342
70,0.004963554054146652,1375578.2446313503
70,0.005989980503959684,1061494.8993743642
70,0.007228664389751605,791146.1869617453
70,0.008723498987203822,575913.8552260629
70,0.010527454378382206,404099.1350478814
70,0.012704454468497921,274054.0815011841
70,0.015331642155920724,181709.7281888644
70,0.018502112922680822,117727.97265235559
70,0.02232821371136904,75437.63009762514
70,0.026945523985502304,48050.12321292102
70,0.032517660043874685,30369.09978878415
70,0.039242072831759525,19225.078218475748
70,0.04735704469679993,12228.439976757309
70,0.057150133022525904,7802.01833136546
70,0.06896835994314293,5010.566341550414
70,0.08323050921634917,3243.5605048969396
70,0.100441965998954,2113.4101839140053
70,0.12121262537888333,1383.9234079652595
70,0.14627850425980826,912.4693411782524
70,0.17652782242446535,605.7298014423819
70,0.21303247696993108,403.6528032531655
70,0.25708602542448,270.19957480888877
70,0.3102495234934777,181.59786420724052
70,0.37440684171378746,122.39958201263504
70,0.4518314211852128,82.86544002899763
70,0.5452668338959238,56.166837049165395
70,0.6580240023303079,38.15800210556129
70,0.7940985233762516,25.98093699410581
70,0.9583122539530187,17.717861796322527
70,1.1564841755049904,12.093637443835505
70,1.3956365920152638,8.256209534971617
70,1.6842439682509731,5.641276560098184
70,2.032533225926454,3.8592960500006894
70,2.452846138902959,2.650440583272165
70,2.960076669048684,1.809323235928045
70,3.572198739936128,1.240310529019384
70,4.310903150256001,0.8515812074047705
70,5.202366196237842,0.5839024802554965
70,6.278177239530645,0.39840564643659615
70,7.5764580892949205,0.27457646209086894
70,9.14321386427342,0.1891316748445582
80,0.0011033963203196644,6043052.267906679
80,0.0013315705590702866,6166233.825883898
80,0.0016069295511780177,5977962.738162772
80,0.001939230756387491,5803720.116790254
80,0.002340249405309863,5514998.631400534
80,0.0028241957595885087,5104766.356203989
80,0.0034082186583962097,4762751.534033125
80,0.004113013194642191,4225754.366363405
80,0.004963554054146652,3637957.691762995
80,0.005989980503959684,3016532.0572953727
80,0.007228664389751605,2312030.0704357936
80,0.008723498987203822,1695864.6513711012
80,0.010527454378382206,1241545.047198459
80,0.012704454468497921,863021.028120678
80,0.015331642155920724,576014.5672203241
80,0.018502112922680822,377240.3701423194
80,0.02232821371136904,242287.53951099698
80,0.026945523985502304,154510.1158219441
80,0.032517660043874685,97517.9541679198
80,0.039242072831759525,61604.78001279135
80,0.04735704469679993,38815.15218748394
80,0.057150133022525904,24569.692195418185
80,0.06896835994314293,15726.15717106939
80,0.08323050921634917,10139.500386076432
80,0.100441965998954,6572.965316463813
80,0.12121262537888333,4293.053931919244
80,0.14627850425980826,2826.432407982617
80,0.17652782242446535,1868.0251741215286
80,0.21303247696993108,1240.0347033546004
80,0.25708602542448,828.7101380969672
80,0.3102495234934777,556.261424404543
80,0.37440684171378746,375.05959328500865
80,0.4518314211852128,253.2937245185284
80,0.5452668338959238,171.308393951156
80,0.6580240023303079,116.40570202198242
80,0.7940985233762516,79.25458639860466
80,0.9583122539530187,53.897514393517845
80,1.1564841755049904,36.70916750216794
80,1.3956365920152638,25.094981570061556
80,1.6842439682509731,17.161757191373642
80,2.032533225926454,11.743936088795866
80,2.452846138902959,8.032067198248589
80,2.960076669048684,5.493065822114049
80,3.572198739936128,3.7591616211220495
80,4.310903150256001,2.579822966132706
80,5.202366196237842,1.767483948856045
80,6.278177239530645,1.212253344420679
80,7.5764580892949205,0.8335925072274648
80,9.14321386427342,0.5706561921848122
