Angle (deg),Sensitivity (nm/uM),Concentration (uM)
50,2.7147477407067466,0.5452668338959238
50,1.86689964623225,0.6580240023303079
50,1.2875593076551388,0.7940985233762516
50,0.8837975026491446,0.9583122539530187
50,0.6069947929532445,1.1564841755049904
50,0.42097393828556684,1.3956365920152638
50,0.28541210033532055,1.6842439682509731
50,0.1989642497470606,2.032533225926454
50,0.13687344631749543,2.452846138902959
50,0.09279752079806508,2.960076669048684
50,0.06407999579009616,3.572198739936128
50,0.04424952116344509,4.310903150256001
50,0.030800318568028104,5.202366196237842
50,0.020661040167260614,6.278177239530645
50,0.014099335447000661,7.5764580892949205
50,0.010014267788704867,9.14321386427342
60,11200.420987751144,0.0011033963203196644
60,10790.232035409363,0.0013315705590702866
60,10320.042685722412,0.0016069295511780177
60,9782.755165611381,0.001939230756387491
60,9179.560582942926,0.002340249405309863
60,8512.23471905446,0.0028241957595885087
60,7788.28803922994,0.0034082186583962097
60,7017.095889541099,0.004113013194642191
60,6217.701176800846,0.004963554054146652
60,5408.905537066389,0.005989980503959684
60,4615.15204605442,0.007228664389751605
60,3859.2501282783014,0.008723498987203822
60,3161.609179365674,0.010527454378382206
60,2538.349296517114,0.012704454468497921
60,1998.4348144062644,0.015331642155920724
60,1544.475000072112,0.018502112922680822
60,1173.6293479633796,0.02232821371136904
60,878.1507115104667,0.026945523985502304
60,648.1428466173766,0.032517660043874685
60,472.7756150645402,0.039242072831759525
60,341.3485170935619,0.04735704469679993
60,244.32273614615144,0.057150133022525904
60,173.60202698335198,0.06896835994314293
60,122.63675719573119,0.08323050921634917
60,86.18241076360583,0.100441965998954
60,60.30908093318202,0.12121262537888333
60,42.069430536158194,0.14627850425980826
60,29.2662566787171,0.17652782242446535
60,20.302901297577797,0.21303247696993108
60,14.069273481425645,0.25708602542448
60,9.727373653527087,0.3102495234934777
60,6.719758467634059,0.37440684171378746
60,4.639130548227294,0.4518314211852128
60,3.1948084200315283,0.5452668338959238
60,2.202344992004198,0.6580240023303079
60,1.5164077859082705,0.7940985233762516
60,1.0445352806089616,0.9583122539530187
60,0.7169826406773265,1.1564841755049904
60,0.4945668240693185,1.3956365920152638
60,0.3388548565868352,1.6842439682509731
60,0.23374633950395007,2.032533225926454
60,0.16019198906182824,2.452846138902959
60,0.1100294357912368,2.960076669048684
60,0.07570042438240225,3.572198739936128
60,0.05233160245594378,4.310903150256001
60,0.03561033984577509,5.202366196237842
60,0.02451088570535919,6.278177239530645
60,0.01695850556751769,7.5764580892949205
60,0.01143811645801101,9.14321386427342
70,12667.78755332694,0.0011033963203196644
70,12228.149586021093,0.0013315705590702866
70,11720.619907356455,0.0016069295511780177
70,11136.102699463021,0.001939230756387491
70,10473.415967185847,0.002340249405309863
70,9735.220899958398,0.0028241957595885087
70,8926.043518816834,0.0034082186583962097
70,8059.287138602255,0.004113013194642191
70,7153.630773922788,0.004963554054146652
70,6232.719455656085,0.005989980503959684
70,5324.136362514607,0.007228664389751605
70,4456.02978269867,0.008723498987203822
70,3652.6189693894867,0.010527454378382206
70,2933.4780264822466,0.012704454468497921
70,2309.7975737226034,0.015331642155920724
70,1785.087983879665,0.018502112922680822
70,1356.1785129147472,0.02232821371136904
70,1014.5988852683024,0.026945523985502304
70,748.6371819985809,0.032517660043874685
70,545.9496150769417,0.039242072831759525
70,394.0560812262419,0.04735704469679993
70,281.9970316773488,0.057150133022525904
70,200.32252864094184,0.06896835994314293
70,141.474362129661,0.08323050921634917
70,99.39833619741205,0.100441965998954
70,69.55590988767746,0.12121262537888333
70,48.51050503766307,0.14627850425980826
70,33.732486215660764,0.17652782242446535
70,23.406194501094344,0.21303247696993108
70,16.213660889373067,0.25708602542448
70,11.2115892587236,0.3102495234934777
70,7.746989953778824,0.37440684171378746
70,5.342487170396019,0.4518314211852128
70,3.6842850102352056,0.5452668338959238
70,2.537237658314179,0.6580240023303079
70,1.7456697216372523,0.7940985233762516
70,1.2026632228754823,0.9583122539530187
70,0.8277135504348334,1.1564841755049904
70,0.5688894822316216,1.3956365920152638
70,0.3906208285075501,1.6842439682509731
70,0.26934382786515504,2.032533225926454
70,0.1846863100399158,2.452846138902959
70,0.127081835243937,2.960076669048684
70,0.08693300511149395,3.572198739936128
70,0.0601541125675918,4.310903150256001
70,0.04092317280666632,5.202366196237842
70,0.028301404091107263,6.278177239530645
70,0.01943748977018056,7.5764580892949205
70,0.013305564042912513,9.14321386427342
80,13665.697401969343,0.0011033963203196644
80,13220.835225340024,0.0013315705590702866
80,12699.06488103754,0.0016069295511780177
80,12094.143763611268,0.001939230756387491
80,11402.81307418346,0.002340249405309863
80,10623.15738469717,0.0028241957595885087
80,9762.77301439993,0.0034082186583962097
80,8833.445209550719,0.004113013194642191
80,7854.631980257606,0.004963554054146652
80,6853.862429891622,0.005989980503959684
80,5861.776036205473,0.007228664389751605
80,4910.220398665346,0.008723498987203822
80,4027.181446087073,0.010527454378382206
80,3235.150075971347,0.012704454468497921
80,2547.650796429758,0.015331642155920724
80,1968.9463649912152,0.018502112922680822
80,1495.6891851213459,0.02232821371136904
80,1118.7063111404398,0.026945523985502304
80,825.3747903918329,0.032517660043874685
80,601.7465577057089,0.039242072831759525
80,434.2605278048213,0.04735704469679993
80,310.7018348124384,0.057150133022525904
80,220.6944161169954,0.06896835994314293
80,155.80899479785438,0.08323050921634917
80,109.46353995954352,0.100441965998954
80,76.59601916452031,0.12121262537888333
80,53.418094591592876,0.14627850425980826
80,37.14321537746202,0.17652782242446535
80,25.770357902868973,0.21303247696993108
80,17.847894963145226,0.25708602542448
80,12.342379247619881,0.3102495234934777
80,8.522116487232276,0.37440684171378746
80,5.879333913911092,0.4518314211852128
80,4.055844908877191,0.5452668338959238
80,2.792745356024545,0.6580240023303079
80,1.9225884428486406,0.7940985233762516
80,1.3238760856631158,0.9583122539530187
80,0.9096544236544548,1.1564841755049904
80,0.6269636168764592,1.3956365920152638
80,0.4301581191788508,1.6842439682509731
80,0.2954119000941091,2.032533225926454
80,0.20365526909210518,2.452846138902959
80,0.1396998898073741,2.960076669048684
80,0.09585035975950063,3.572198739936128
80,0.06599624037249884,4.310903150256001
80,0.04514882373301337,5.202366196237842
80,0.03135251642417346,6.278177239530645
80,0.02117700425317992,7.5764580892949205
80,0.014834536753127332,9.14321386427342
