Angle (deg),Sensitivity (nm/uM),Concentration (uM)
0,5643.390724683139,0.0011033963203196644
0,5421.686573830515,0.0013315705590702866
0,5166.703630682235,0.0016069295511780177
0,4881.181092085284,0.001939230756387491
0,4560.03994921268,0.002340249405309863
0,4215.077546919646,0.0028241957595885087
0,3843.4819166786715,0.0034082186583962097
0,3450.8201809327456,0.004113013194642191
0,3049.7720172583136,0.004963554054146652
0,2648.3189958620837,0.005989980503959684
0,2255.7765794107318,0.007228664389751605
0,1884.5244597011747,0.008723498987203822
0,1544.871601733235,0.010527454378382206
0,1241.0870939451183,0.012704454468497921
0,978.6500834777971,0.015331642155920724
0,758.1760374102223,0.018502112922680822
0,577.3560817752034,0.02232821371136904
0,433.4708760633267,0.026945523985502304
0,320.95959205264813,0.032517660043874685
0,234.95927528788704,0.039242072831759525
0,170.13479810621817,0.04735704469679993
0,122.21462970735188,0.057150133022525904
0,87.11426708882234,0.06896835994314293
0,61.73685909926492,0.08323050921634917
0,43.4549139429698,0.100441965998954
0,30.506063650394477,0.12121262537888333
0,21.33910254790994,0.14627850425980826
0,14.871430099012331,0.17652782242446535
0,10.319346476231807,0.21303247696993108
0,7.160468198905622,0.25708602542448
0,4.970356216021993,0.3102495234934777
0,3.4345833613083188,0.37440684171378746
0,2.3618611453221794,0.4518314211852128
0,1.6342112057460731,0.5452668338959238
0,1.127129613110576,0.6580240023303079
0,0.7794430627697605,0.7940985233762516
0,0.5345212641237067,0.9583122539530187
0,0.36449216056015593,1.1564841755049904
0,0.25615524353037494,1.3956365920152638
0,0.17424426149879835,1.6842439682509731
0,0.11813420291109317,2.032533225926454
0,0.08266355626294061,2.452846138902959
0,0.055880402966893894,2.960076669048684
0,0.03883636108503541,3.572198739936128
0,0.027230474562033462,4.310903150256001
0,0.01846172941137191,5.202366196237842
0,0.01189858339542159,6.278177239530645
0,0.00915541262790587,7.5764580892949205
0,0.0058358203897051625,9.14321386427342
10,5793.300846760962,0.0011033963203196644
10,5565.94430971974,0.0013315705590702866
10,5302.844279048262,0.0016069295511780177
