Angle (deg),Polarization,"Resonance Peak (blank, nm)","FWHM (blank, nm)",Quality Factor (blank),"Sensitivity (low conc, nm/uM)",LOD (uM)
0,S,901.1852211852212,0.25580707591063856,3522.909669238522,5644.790664175883,2.265868578033313e-06
10,S,896.1067161067161,0.2301727812291574,3893.1915030151304,5793.248707001316,1.9865605023221832e-06
20,S,881.019821019821,0.16727555196189314,5266.877380984672,6247.327215838745,1.3387769375822207e-06
30,S,856.4201864201864,0.09757960521824316,8776.630982516754,7031.97874772417,6.938275037436926e-07
40,S,823.3482133482133,0.046188585784420866,17825.7939567815,8162.387610619479,2.8293550850444976e-07
50,S,783.8371538371539,0.018778340466269583,41741.55619582646,9601.342578480895,9.779018045016292e-08
60,S,741.6138516138516,0.007396501697257918,100265.48792502648,11200.40978731947,3.301888876258732e-08
70,S,702.6612126612126,0.0035614052492292103,197298.86477066562,12667.04952049671,1.405775371552174e-08
80,S,674.6396196396197,0.0023464581472580903,287514.0221136939,13665.683736258059,8.585220441742046e-09
